original_description,expanded_query,compliance_status,confidence_level,compliance_reasoning,recommendations,answer,references,Score
NBFS-eIDiva-NBFS-DigID Use-to-Access:  Existance Factors: at least 1,"What is the minimum number of existence factors required for accessing NBFS-eIDiva and NBFS-DigID, and which specific factors from the Qualitative Factor Groups are utilized in this process?",Insufficient Information,Low,The company's documented answer does not specify the minimum number of existence factors required for accessing NBFS-eIDiva and NBFS-DigID nor the specific factors from the Qualitative Factor Groups utilized in this process. This lack of detail prevents a clear determination of compliance with the requirement.,The company should provide documentation detailing the minimum existence factors and identify which specific factors from the Qualitative Factor Groups are utilized for access to NBFS-eIDiva and NBFS-DigID.,"The minimum number of existence factors required for accessing NBFS-eIDiva and NBFS-DigID is not specified in the provided context, nor are the specific factors from the Qualitative Factor Groups utilized in this process detailed. Therefore, I cannot provide a direct answer to this question based on the available information.",edc87a10-2155-4e98-8053-b0a1434c172b; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; db80b2bc-8967-4e86-8725-610c615154e9; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; de8dc633-b7a6-4052-a58a-d20acb4f399b; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; ceb227dc-7fa2-4d70-9162-f647f83ae030; 3a69805b-07ac-43b4-9662-efa217273531; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; f0c3a3ac-10f1-4d7c-8217-cb4976628492,0
"NBFS-eIDiva-NBFS-DigID Use-to-Access:  Mandatory Existance Factors: 2 (2.4.4, 2.4.5)","What are the mandatory existence factors (specifically 2.4.4 and 2.4.5) for accessing the NBFS-eIDiva-NBFS-DigID system, and do these factors comply with the multi-factor requirements outlined in the Digital Financial Technology Regulations?",Compliant,High,"The company's documented practices meet the mandatory existence factors 2.4.4 and 2.4.5 for accessing the NBFS-eIDiva-NBFS-DigID system, as they specify the implementation of multi-factor authentication (MFA), explicitly mentioning a knowledge factor (password) and a possession factor (physical token or OTP). This aligns with the multi-factor requirements outlined in the Digital Financial Technology Regulations.",None required.,"The mandatory existence factors for accessing the NBFS-eIDiva-NBFS-DigID system, specifically 2.4.4 and 2.4.5, include the implementation of multi-factor authentication (MFA) measures, which may consist of something the user knows (like a password) and something the user possesses (like a physical token or OTP). These factors comply with the multi-factor requirements outlined in the Digital Financial Technology Regulations by ensuring that multiple methods of authentication are used to verify a user's identity.",edc87a10-2155-4e98-8053-b0a1434c172b; de8dc633-b7a6-4052-a58a-d20acb4f399b; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; db80b2bc-8967-4e86-8725-610c615154e9; ff9abf3d-4272-46e7-abb1-5467266b846b; d4a2294f-a26b-432f-b137-ed86772067a2; 3a69805b-07ac-43b4-9662-efa217273531; f0c3a3ac-10f1-4d7c-8217-cb4976628492; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 98f831cd-b9a5-4925-8f61-a47bf40091eb,1
NBFS-eIDiva-NBFS-DigID Use-to-eSign-BasicTrust (Low),"What are the specific requirements and processes outlined for achieving ""Basic Trust Level"" in digital identity authentication, particularly in relation to utilizing NBFS-eIDiva and NBFS-DigID for electronic signatures?",Insufficient Information,Low,"The company's documented answer indicates that there is no specific information provided regarding the requirements and processes for achieving the ""Basic Trust Level"" in digital identity authentication using NBFS-eIDiva and NBFS-DigID for electronic signatures. This lack of detailed evidence prevents a clear assessment of compliance with the specified requirement.","The company should provide comprehensive documentation outlining the specific requirements and processes aligned with the Basic Trust Level, particularly regarding the use of NBFS-eIDiva and NBFS-DigID for electronic signatures. This documentation should detail how the company meets the minimum requirements outlined in the legal framework provided.","The provided context does not include specific requirements and processes related to achieving ""Basic Trust Level"" in digital identity authentication with NBFS-eIDiva and NBFS-DigID for electronic signatures. Therefore, I cannot provide a direct answer to your question based on the available information.",d4a2294f-a26b-432f-b137-ed86772067a2; edc87a10-2155-4e98-8053-b0a1434c172b; ff9abf3d-4272-46e7-abb1-5467266b846b; 0640c22c-1f0a-45ad-9046-d5891fe03f08; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 3a69805b-07ac-43b4-9662-efa217273531; de8dc633-b7a6-4052-a58a-d20acb4f399b; 98f831cd-b9a5-4925-8f61-a47bf40091eb; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; db80b2bc-8967-4e86-8725-610c615154e9,0
NBFS-eIDiva-NBFS-DigID Use-to-eSign-BasicTrust:  Knowledge Factors: at least 2 (2.2.1-2),"What are the requirements for implementing at least two Knowledge Factor elements (such as username, password, and personal question answers) when using NBFS-eIDiva-NBFS-DigID for electronic signatures at the Basic Trust level as per the regulations outlined in Law No. 5 of 2022?",Compliant,High,"The company's documented answer sufficiently outlines the requirement for implementing at least two Knowledge Factor elements, such as username, password, and personal question answers, in accordance with the regulations of Law No. 5 of 2022. The mention of robust authentication to safeguard user identity further supports compliance with the Basic Trust level requirements.",None required.,"The requirements for implementing at least two Knowledge Factor elements, such as username, password, and personal question answers, when using NBFS-eIDiva-NBFS-DigID for electronic signatures at the Basic Trust level, as per the regulations outlined in Law No. 5 of 2022, must ensure robust authentication to safeguard user identity and enhance security during the signing process.",ff9abf3d-4272-46e7-abb1-5467266b846b; edc87a10-2155-4e98-8053-b0a1434c172b; d4a2294f-a26b-432f-b137-ed86772067a2; 3a69805b-07ac-43b4-9662-efa217273531; db80b2bc-8967-4e86-8725-610c615154e9; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 0640c22c-1f0a-45ad-9046-d5891fe03f08; de8dc633-b7a6-4052-a58a-d20acb4f399b; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; a0ca1eef-03a8-4e1a-a16a-55e985b6f912,1
NBFS-eIDiva-NBFS-DigID Use-to-eSign-BasicTrust:  Possession Factors: at least 4 (2.3.1-4),What are the four required elements from the Possession Factor Group necessary for achieving Basic Trust Level in the digital identity verification process as per the Digital Financial Technology Regulations?,Non-Compliant,High,"The company's documented answer explicitly states that the four required elements from the Possession Factor Group necessary for achieving Basic Trust Level are not specified, indicating a clear lack of compliance with the requirement. This failure to identify the necessary elements constitutes a non-compliance with the stated regulations.","The company must provide the specific four required elements from the Possession Factor Group (Identity document, Email account, Mobile phone number, Device number) to achieve compliance with the Digital Financial Technology Regulations for Basic Trust Level.","The four required elements from the Possession Factor Group necessary for achieving Basic Trust Level in the digital identity verification process, as per the Digital Financial Technology Regulations, are not specified in the provided context.",edc87a10-2155-4e98-8053-b0a1434c172b; db80b2bc-8967-4e86-8725-610c615154e9; de8dc633-b7a6-4052-a58a-d20acb4f399b; d4a2294f-a26b-432f-b137-ed86772067a2; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; 54794e6c-5c1f-4b2b-ab88-b700f005ae58; f0c3a3ac-10f1-4d7c-8217-cb4976628492; 0b51a03d-7754-4e1f-af2c-b124d0e35560; a0ca1eef-03a8-4e1a-a16a-55e985b6f912,0
"NBFS-eIDiva-NBFS-DigID Use-to-eSign-BasicTrust:  Existance Factors: at least 3 (2.4.1.1, 2.4.2, 2.4.3)","What are the specific existence factors for Basic Trust Level in digital identity processes, and do they include at least three elements from the required factor groups as outlined in the digital identity controls regulations?",Compliant,High,"The company's documented answer includes three relevant existence factors—authentication, data integrity, and non-repudiation—corresponding to the requirements of the Basic Trust Level in digital identity processes as outlined in the regulations. These factors align with the necessary components of the compliance requirement.",None required.,"The specific existence factors for Basic Trust Level in digital identity processes include authentication, data integrity, and non-repudiation, which are elements from the required factor groups outlined in digital identity controls regulations.",edc87a10-2155-4e98-8053-b0a1434c172b; d4a2294f-a26b-432f-b137-ed86772067a2; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; f0c3a3ac-10f1-4d7c-8217-cb4976628492; de8dc633-b7a6-4052-a58a-d20acb4f399b; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; db80b2bc-8967-4e86-8725-610c615154e9; 4bbcc0f7-8686-41f4-813e-5e846320dac6; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; 0640c22c-1f0a-45ad-9046-d5891fe03f08,1
"NBFS-eIDiva-NBFS-DigID Use-to-eSign-BasicTrust:  Mandatory Existance Factors: 2 (2.4.4, 2.4.5)","What are the mandatory existence factors specified for the NBFS-eIDiva-NBFS-DigID use-to-eSign under the Basic Trust level, particularly in sections 2.4.4 and 2.4.5?",Insufficient Information,Low,"The company's response indicates a lack of knowledge regarding the mandatory existence factors specified for the NBFS-eIDiva-NBFS-DigID use-to-eSign under the Basic Trust level, specifically in sections 2.4.4 and 2.4.5. This absence of specific information prevents a full assessment of compliance with the requirement.",Additional documentation or detailed evidence regarding the mandatory existence factors as outlined in sections 2.4.4 and 2.4.5 needs to be provided for a proper compliance evaluation.,"I'm sorry, but I don't have information regarding the specific mandatory existence factors for the NBFS-eIDiva-NBFS-DigID use-to-eSign under the Basic Trust level, particularly in sections 2.4.4 and 2.4.5, as that detail is not included in the provided context.",edc87a10-2155-4e98-8053-b0a1434c172b; d4a2294f-a26b-432f-b137-ed86772067a2; ff9abf3d-4272-46e7-abb1-5467266b846b; 0640c22c-1f0a-45ad-9046-d5891fe03f08; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 3a69805b-07ac-43b4-9662-efa217273531; de8dc633-b7a6-4052-a58a-d20acb4f399b; 0f81d73f-2e2b-4ce4-bccc-f36725cad694; f0c3a3ac-10f1-4d7c-8217-cb4976628492; db80b2bc-8967-4e86-8725-610c615154e9,0
NBFS-eIDiva-NBFS-DigID Use-to-eSign-GeneralTrust (Medium),"What are the specific requirements and controls in place for using the NBFS-eIDiva-NBFS-DigID for electronic signatures at the General Trust Level, including compliance with the digital identity controls, verification processes, and necessary elements from the Knowledge, Possession, and Presence/Vitality Factor Groups?",Insufficient Information,Low,"The company's documented answer explicitly states that it is unable to provide information regarding the specific compliance requirements and controls for using the ""NBFS-eIDiva-NBFS-DigID"" for electronic signatures at the General Trust Level. This lack of detail indicates that the company does not meet the necessary documentation standards for compliance.","The company should provide detailed documentation or evidence regarding their digital identity controls, verification processes, and elements from the Knowledge, Possession, and Presence/Vitality Factor Groups relevant to the use of the NBFS-eIDiva-NBFS-DigID at the General Trust Level.","The context provided does not specifically mention the ""NBFS-eIDiva-NBFS-DigID"" or outline requirements and controls for using it at the General Trust Level. Therefore, I am unable to provide information regarding the compliance with digital identity controls, verification processes, or elements from the Knowledge, Possession, and Presence/Vitality Factor Groups. Please refer to the specific documentation or guidelines related to NBFS-eIDiva for accurate details.",d4a2294f-a26b-432f-b137-ed86772067a2; edc87a10-2155-4e98-8053-b0a1434c172b; ff9abf3d-4272-46e7-abb1-5467266b846b; 3a69805b-07ac-43b4-9662-efa217273531; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; db80b2bc-8967-4e86-8725-610c615154e9; 0640c22c-1f0a-45ad-9046-d5891fe03f08; 98f831cd-b9a5-4925-8f61-a47bf40091eb; de8dc633-b7a6-4052-a58a-d20acb4f399b; a0ca1eef-03a8-4e1a-a16a-55e985b6f912,0
NBFS-eIDiva-NBFS-DigID Use-to-eSign-GeneralTrust:  Knowledge Factors: at least 2 (2.2.1-2),"What are the specific Knowledge Factors, including at least two elements from the Knowledge Factor Group, required for digital identity verification under the General Trust Level as outlined in compliance with digital financial technology regulations?",Compliant,High,"The company's documented answer specifies the required Knowledge Factors for digital identity verification, including essential elements from the Knowledge Factor Group (authentication mechanisms and data protection measures). This meets the compliance requirement of including at least two elements from the Knowledge Factor Group under the General Trust Level.",None required.,"The specific Knowledge Factors required for digital identity verification under the General Trust Level in compliance with digital financial technology regulations include elements from the Knowledge Factor Group such as authentication mechanisms, which ensure the identity of the user is verified through reliable means; and data protection measures, which are essential for safeguarding personal information and ensuring compliance with data protection laws like GDPR.",db80b2bc-8967-4e86-8725-610c615154e9; edc87a10-2155-4e98-8053-b0a1434c172b; d4a2294f-a26b-432f-b137-ed86772067a2; de8dc633-b7a6-4052-a58a-d20acb4f399b; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 54794e6c-5c1f-4b2b-ab88-b700f005ae58; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; 98f831cd-b9a5-4925-8f61-a47bf40091eb; f0c3a3ac-10f1-4d7c-8217-cb4976628492; ff9abf3d-4272-46e7-abb1-5467266b846b,1
NBFS-eIDiva-NBFS-DigID Use-to-eSign-GeneralTrust:  Possession Factors: at least 5 (2.3.1-5),What are the specific requirements and documents confirming the possession of at least five distinct items from the Possession Factor Group necessary for the use of NBFS-eIDiva-NBFS-DigID for electronic signing processes under the General Trust Level as outlined in section 2.3.1-5?,Insufficient Information,Low,The company's documented answer explicitly states that there is no specific information provided regarding the possession of at least five distinct items from the Possession Factor Group as required under the compliance requirement NBFS-eIDiva-NBFS-DigID for electronic signing processes. This lack of detail makes it impossible to determine compliance with the outlined requirements.,"Additional documentation or evidence is needed that confirms the possession of at least five distinct items from the Possession Factor Group, including relevant forms, records, or certifications that demonstrate compliance with the specified regulations.","The provided context does not contain specific information regarding the requirements and documents confirming the possession of at least five distinct items from the Possession Factor Group for using NBFS-eIDiva-NBFS-DigID in electronic signing processes under the General Trust Level as outlined in section 2.3.1-5. Therefore, I am unable to provide an answer to this question.",edc87a10-2155-4e98-8053-b0a1434c172b; d4a2294f-a26b-432f-b137-ed86772067a2; ff9abf3d-4272-46e7-abb1-5467266b846b; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; db80b2bc-8967-4e86-8725-610c615154e9; 0640c22c-1f0a-45ad-9046-d5891fe03f08; 3a69805b-07ac-43b4-9662-efa217273531; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; 98f831cd-b9a5-4925-8f61-a47bf40091eb; de8dc633-b7a6-4052-a58a-d20acb4f399b,0
"NBFS-eIDiva-NBFS-DigID Use-to-eSign-GeneralTrust:  Existance Factors: at least 3 (2.4.1.1, 2.4.2, 2.4.3)","What are the three existence factors required to establish General Trust for NBFS-eIDiva-NBFS-DigID electronic signatures in compliance with sections 2.4.1.1, 2.4.2, and 2.4.3 of the digital identity controls?",Compliant,High,"The company's documented answer satisfactorily identifies the three existence factors required to establish General Trust for NBFS-eIDiva-NBFS-DigID electronic signatures, explicitly aligning with the specified compliance requirement of sections 2.4.1.1, 2.4.2, and 2.4.3. The stated factors—authentication of the signer's identity, assurance of access to the private key, and non-repudiation—are relevant and necessary for meeting the compliance criteria.",None required.,"The three existence factors required to establish General Trust for NBFS-eIDiva-NBFS-DigID electronic signatures in compliance with sections 2.4.1.1, 2.4.2, and 2.4.3 of the digital identity controls are authentication of the signer's identity, assurance that the signer has access to their private key, and non-repudiation of the signed contract.",edc87a10-2155-4e98-8053-b0a1434c172b; 3a69805b-07ac-43b4-9662-efa217273531; ff9abf3d-4272-46e7-abb1-5467266b846b; d4a2294f-a26b-432f-b137-ed86772067a2; f0c3a3ac-10f1-4d7c-8217-cb4976628492; db80b2bc-8967-4e86-8725-610c615154e9; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 0640c22c-1f0a-45ad-9046-d5891fe03f08; de8dc633-b7a6-4052-a58a-d20acb4f399b; a0ca1eef-03a8-4e1a-a16a-55e985b6f912,1
"NBFS-eIDiva-NBFS-DigID Use-to-eSign-GeneralTrust:  Mandatory Existance Factors: 2 (2.4.4, 2.4.5)",What are the mandatory existence factors related to the General Trust level in the digital identity processes specified in sections 2.4.4 and 2.4.5 of the compliance regulations for e-signatures using NBFS-eIDiva and NBFS-DigID systems?,Insufficient Information,Low,The company's documented answer explicitly states that it does not have the specific information related to the mandatory existence factors outlined in sections 2.4.4 and 2.4.5 of the compliance regulations. This indicates a lack of critical details necessary to assess compliance with the requirement.,"The company should provide documentation or detailed examples of how their practices align with the mandatory existence factors for the General Trust level as specified in the compliance regulations. This may include evidence of compliance with identification, verification, and authentication processes that meet the outlined requirements.","The provided context does not contain specific information regarding the mandatory existence factors related to the General Trust level in digital identity processes specified in sections 2.4.4 and 2.4.5 of the compliance regulations for e-signatures using NBFS-eIDiva and NBFS-DigID systems. Therefore, I cannot provide an answer to that question.",edc87a10-2155-4e98-8053-b0a1434c172b; d4a2294f-a26b-432f-b137-ed86772067a2; ff9abf3d-4272-46e7-abb1-5467266b846b; 3a69805b-07ac-43b4-9662-efa217273531; f0c3a3ac-10f1-4d7c-8217-cb4976628492; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; db80b2bc-8967-4e86-8725-610c615154e9; 0640c22c-1f0a-45ad-9046-d5891fe03f08; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; 98f831cd-b9a5-4925-8f61-a47bf40091eb,0
NBFS-eIDiva-NBFS-DigID Use-to-eSign-ElevatedTrust (High),What specific requirements and processes must be followed to utilize the NBFS-eIDiva and NBFS-DigID systems for electronic signatures at the Elevated Trust (High) level in compliance with digital identity and financial technology regulations?,Insufficient Information,High,The company's documented answer lacks specific details regarding the requirements and processes for utilizing the NBFS-eIDiva and NBFS-DigID systems for electronic signatures at the Elevated Trust (High) level. This absence of essential procedural information prevents a full assessment of compliance.,"To determine compliance, the company should provide detailed information regarding the processes followed for identification, verification, authentication, and use of the certified electronic signature as required by the Elevated Trust (High) level framework. Additionally, clarification on how these processes align with the regulatory requirements outlined in the provided legal framework would be beneficial.","The provided context does not include specific details about the requirements and processes for utilizing the NBFS-eIDiva and NBFS-DigID systems for electronic signatures at the Elevated Trust (High) level in compliance with digital identity and financial technology regulations. Therefore, I cannot provide that information.",ff9abf3d-4272-46e7-abb1-5467266b846b; edc87a10-2155-4e98-8053-b0a1434c172b; 3a69805b-07ac-43b4-9662-efa217273531; d4a2294f-a26b-432f-b137-ed86772067a2; 0640c22c-1f0a-45ad-9046-d5891fe03f08; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; 98f831cd-b9a5-4925-8f61-a47bf40091eb; db80b2bc-8967-4e86-8725-610c615154e9; de8dc633-b7a6-4052-a58a-d20acb4f399b,0
NBFS-eIDiva-NBFS-DigID Use-to-eSign-ElevatedTrust:  Knowledge Factors: at least 2 (2.2.1-2),What are the requirements and justifications for having at least two Knowledge Factors from the Knowledge Factor Group in the context of using NBFS eIDiva and NBFS DigID for elevated trust electronic signatures as specified in section 2.2.1-2 of the compliance framework?,Compliant,High,"The company's documented answer sufficiently outlines the requirements for having at least two Knowledge Factors from the Knowledge Factor Group for elevated trust electronic signatures. It emphasizes the importance of robust identity verification and authentication which aligns with the compliance requirement. The justifications provided support the necessity of these measures to enhance security and reduce fraud, demonstrating an understanding of regulatory standards.",None required.,"The requirements for having at least two Knowledge Factors from the Knowledge Factor Group when using NBFS eIDiva and NBFS DigID for elevated trust electronic signatures are to enhance the security and reliability of the digital signing process. Justifications for this include the need to ensure robust identity verification and authentication, thereby reducing the risk of fraud and ensuring compliance with relevant regulatory standards, such as those set by the Financial Regulatory Authority (FRA). This dual-factor approach significantly strengthens the integrity of the signing process and fosters greater confidence among users concerning the legitimacy of their digital transactions.",ff9abf3d-4272-46e7-abb1-5467266b846b; db80b2bc-8967-4e86-8725-610c615154e9; edc87a10-2155-4e98-8053-b0a1434c172b; d4a2294f-a26b-432f-b137-ed86772067a2; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 3a69805b-07ac-43b4-9662-efa217273531; 0de8b7e8-98f3-4a4e-9943-97fce04dc2a8; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; de8dc633-b7a6-4052-a58a-d20acb4f399b; eda8380f-4a0a-457f-98ae-0cec58b4dc4f,1
NBFS-eIDiva-NBFS-DigID Use-to-eSign-ElevatedTrust:  Possession Factors: at least 6 (2.3.1-6),"What are the specific possession factors used for digital identity verification that meet the requirements of at least six elements for elevated trust, as outlined in the guidelines for NBFS eIDiva and NBFS DigID e-Sign?",Compliant,High,"The company's documented answer provides a comprehensive list of possession factors for digital identity verification that includes multiple facets listed within the required six elements, such as robust multi-factor authentication, secure liveness checks, OTP verification, document scanning, OCR data extraction, and digital signing processes. This aligns well with the guidelines set for NBFS eIDiva and NBFS DigID e-Sign.",None required.,"The specific possession factors used for digital identity verification that meet the requirements of at least six elements for elevated trust, as outlined in the guidelines for NBFS eIDiva and NBFS DigID e-Sign, include the following: robust multi-factor authentication, secure liveness checks during selfie validation, One-Time Password (OTP) verification via phone and email, document scanning, OCR data extraction for authenticity verification, and digital signing processes integrated into the onboarding system.",edc87a10-2155-4e98-8053-b0a1434c172b; d4a2294f-a26b-432f-b137-ed86772067a2; de8dc633-b7a6-4052-a58a-d20acb4f399b; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; db80b2bc-8967-4e86-8725-610c615154e9; 0b51a03d-7754-4e1f-af2c-b124d0e35560; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; ff9abf3d-4272-46e7-abb1-5467266b846b; 98f831cd-b9a5-4925-8f61-a47bf40091eb; a0ca1eef-03a8-4e1a-a16a-55e985b6f912,1
"NBFS-eIDiva-NBFS-DigID Use-to-eSign-ElevatedTrust:  Existance Factors: at least 3 (2.4.1.1, 2.4.2, 2.4.3)","What are the specific existence factors related to the use of NBFS-eIDiva for elevated trust e-signatures as outlined in sections 2.4.1.1, 2.4.2, and 2.4.3 of the compliance regulations?",Insufficient Information,Low,"The company's documented answer indicates a lack of specific information regarding the existence factors related to the use of NBFS-eIDiva for elevated trust e-signatures as required by sections 2.4.1.1, 2.4.2, and 2.4.3. Without this information, it is impossible to assess compliance adequately.","The company should provide detailed documentation that outlines the existence factors as stipulated in the compliance regulations. Specific focus should be on demonstrating adherence to the requirements in sections 2.4.1.1, 2.4.2, and 2.4.3 for elevated trust e-signatures.","The provided context does not contain specific information related to the use of NBFS-eIDiva for elevated trust e-signatures as outlined in sections 2.4.1.1, 2.4.2, and 2.4.3 of compliance regulations. Therefore, I cannot provide an answer regarding those specific existence factors.",ff9abf3d-4272-46e7-abb1-5467266b846b; d4a2294f-a26b-432f-b137-ed86772067a2; 3a69805b-07ac-43b4-9662-efa217273531; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; edc87a10-2155-4e98-8053-b0a1434c172b; db80b2bc-8967-4e86-8725-610c615154e9; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; e89a1457-ffeb-4b13-b8a6-8735fe75858a; de8dc633-b7a6-4052-a58a-d20acb4f399b; 55f0a523-eaec-4e6a-89aa-cabf9164ec36,0
"NBFS-eIDiva-NBFS-DigID Use-to-eSign-ElevatedTrust:  Mandatory Existance Factors: 2 (2.4.4, 2.4.5)","What are the mandatory existence factors required for the use of NBFS-eIDiva-NBFS-DigID in electronic signing processes at the elevated trust level, as specified in sections 2.4.4 and 2.4.5 of the compliance documentation?",Compliant,High,"The company's documented answer appropriately identifies multiple existence factors relevant to the use of NBFS-eIDiva-NBFS-DigID for electronic signing processes at the elevated trust level, as specified in the compliance requirements. The answer references strong user authentication mechanisms, non-repudiation assurance, and regulatory compliance, all of which align with the mandatory factors outlined in sections 2.4.4 and 2.4.5.",None required.,"The mandatory existence factors required for the use of NBFS-eIDiva-NBFS-DigID in electronic signing processes at the elevated trust level, as specified in sections 2.4.4 and 2.4.5 of the compliance documentation, include strong user authentication mechanisms, non-repudiation assurance, and appropriate regulatory compliance.",d4a2294f-a26b-432f-b137-ed86772067a2; edc87a10-2155-4e98-8053-b0a1434c172b; ff9abf3d-4272-46e7-abb1-5467266b846b; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 3a69805b-07ac-43b4-9662-efa217273531; db80b2bc-8967-4e86-8725-610c615154e9; 0640c22c-1f0a-45ad-9046-d5891fe03f08; de8dc633-b7a6-4052-a58a-d20acb4f399b; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; f0c3a3ac-10f1-4d7c-8217-cb4976628492,1
NBFS-eIDiva SEQUENCE: BioID Check (At least Face Geometry),"What documentation exists that details the implementation of the BioID Check, specifically focusing on the use of face geometry within the digital identity verification process in compliance with NBFS-eIDiva standards?",Insufficient Information,Low,"The company’s documented answer states that there is no documentation or details provided regarding the implementation of the BioID Check, specifically in relation to face geometry within the digital identity verification process. This indicates a clear lack of compliance with the NBFS-eIDiva standards as the necessary information is not available.","The company should provide detailed documentation that outlines the implementation of the BioID Check, specifically addressing how face geometry is utilized in the identity verification process, in order to meet compliance requirements.",The provided context does not contain any documentation or details regarding the implementation of the BioID Check or its focus on the use of face geometry in the digital identity verification process in compliance with NBFS-eIDiva standards.,edc87a10-2155-4e98-8053-b0a1434c172b; de8dc633-b7a6-4052-a58a-d20acb4f399b; 98f831cd-b9a5-4925-8f61-a47bf40091eb; db80b2bc-8967-4e86-8725-610c615154e9; 0b51a03d-7754-4e1f-af2c-b124d0e35560; 4bbcc0f7-8686-41f4-813e-5e846320dac6; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; 3a69805b-07ac-43b4-9662-efa217273531; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d,0
NBFS-eIDiva SEQUENCE: BioID Check: in-device-scanner,What is the process and technical specifications for implementing the in-device-scanner BioID check for digital identity verification in accordance with the multi-factor authentication requirements outlined in the Digital Identity Controls framework?,Insufficient Information,Low,The company's documented answer explicitly states that it does not provide the required process and technical specifications for implementing the in-device-scanner BioID check for digital identity verification. This lack of information directly contradicts the compliance requirement and indicates that essential details are missing.,The company needs to develop and submit comprehensive documentation that outlines the specific process and technical specifications for the in-device-scanner BioID check in accordance with the multi-factor authentication requirements specified in the Digital Identity Controls framework.,"The provided context does not include information regarding the specific process and technical specifications for implementing the in-device-scanner BioID check for digital identity verification according to the multi-factor authentication requirements outlined in the Digital Identity Controls framework. Therefore, I cannot provide an answer to this question.",edc87a10-2155-4e98-8053-b0a1434c172b; 98f831cd-b9a5-4925-8f61-a47bf40091eb; de8dc633-b7a6-4052-a58a-d20acb4f399b; db80b2bc-8967-4e86-8725-610c615154e9; 0b51a03d-7754-4e1f-af2c-b124d0e35560; 0640c22c-1f0a-45ad-9046-d5891fe03f08; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; d4a2294f-a26b-432f-b137-ed86772067a2; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; c643411b-b3bb-4373-889c-775926a91afd,0
NBFS-eIDiva SEQUENCE: BioID Check: allow for secondary BioIDs,What processes are in place to allow for the inclusion and management of secondary BioIDs within the NBFS-eIDiva Sequence for biometric identity verification?,Insufficient Information,High,"The company's documented answer explicitly states that it does not include information about the inclusion and management of secondary BioIDs within the NBFS-eIDiva Sequence, which directly addresses the compliance requirement. As such, there is a clear lack of the necessary details to assess compliance.",Additional documentation or evidence outlining the processes for including and managing secondary BioIDs within the NBFS-eIDiva Sequence is needed to properly evaluate compliance with the requirement.,"The provided context does not include information about the inclusion and management of secondary BioIDs within the NBFS-eIDiva Sequence for biometric identity verification, thus I cannot provide an answer to that question.",0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; edc87a10-2155-4e98-8053-b0a1434c172b; 9dc3542c-9f7e-4c1a-b5f1-63138dde4f7c; de8dc633-b7a6-4052-a58a-d20acb4f399b; 3c6abef5-4a07-4f03-879b-4d0ab81bd75f; 4bbcc0f7-8686-41f4-813e-5e846320dac6; 0f81d73f-2e2b-4ce4-bccc-f36725cad694; 98f831cd-b9a5-4925-8f61-a47bf40091eb; 0640c22c-1f0a-45ad-9046-d5891fe03f08,0
